id,CityEnglish,CityPinyan,CityAvgAQI,SitePinyan,AQI,PM2_5,PM10,CO,NO2,SO2,O3_1h,O3_8h,AQI_qualitative,Date,Hours
18,beijing,北京,154,万寿西宫,155,118,139,1.4,0,2,2,91,中度污染,2015-09-16,0
19,beijing,北京,154,东四,160,122,149,1.3,113,9,45,128,中度污染,2015-09-16,0
20,beijing,北京,154,农展馆,153,117,121,1.3,123,9,48,123,中度污染,2015-09-16,0
21,beijing,北京,154,古城,144,110,136,1.1,59,2,13,84,轻度污染,2015-09-16,0
22,beijing,北京,154,天坛,133,101,123,1.4,111,5,2,99,轻度污染,2015-09-16,0
23,beijing,北京,154,奥体中心,163,124,153,1.9,191,2,3,125,中度污染,2015-09-16,0
24,beijing,北京,154,官园,144,110,127,1.2,72,6,52,137,轻度污染,2015-09-16,0
25,beijing,北京,154,定陵,135,103,116,0.9,25,3,100,122,轻度污染,2015-09-16,0
26,beijing,北京,154,怀柔镇,143,109,0,1.1,11,3,132,178,轻度污染,2015-09-16,0
27,beijing,北京,154,昌平镇,142,108,0,1.1,31,4,125,162,轻度污染,2015-09-16,0
28,beijing,北京,154,海淀区万柳,155,118,164,1.4,137,4,2,80,中度污染,2015-09-16,0
29,beijing,北京,154,顺义新城,220,170,179,2,121,2,2,107,重度污染,2015-09-16,0
963,beijing,北京,153,万寿西宫,149,114,121,1.3,0,2,4,65,轻度污染,2015-09-16,1
964,beijing,北京,153,东四,158,120,142,1.2,103,9,46,105,中度污染,2015-09-16,1
965,beijing,北京,153,农展馆,156,119,0,1.3,117,7,42,96,中度污染,2015-09-16,1
966,beijing,北京,153,古城,134,102,106,0.8,33,2,45,63,轻度污染,2015-09-16,1
967,beijing,北京,153,天坛,142,108,120,1.3,107,5,2,68,轻度污染,2015-09-16,1
968,beijing,北京,153,奥体中心,173,131,186,2,185,2,4,94,中度污染,2015-09-16,1
969,beijing,北京,153,官园,138,105,119,1.1,64,5,53,112,轻度污染,2015-09-16,1
970,beijing,北京,153,定陵,138,105,110,0.9,23,2,95,118,轻度污染,2015-09-16,1
971,beijing,北京,153,怀柔镇,140,107,0,1.1,11,2,122,163,轻度污染,2015-09-16,1
972,beijing,北京,153,昌平镇,143,109,0,1,28,4,110,147,轻度污染,2015-09-16,1
973,beijing,北京,153,海淀区万柳,166,126,143,1.3,120,2,3,55,中度污染,2015-09-16,1
974,beijing,北京,153,顺义新城,209,159,0,1.3,57,2,26,82,重度污染,2015-09-16,1
1908,beijing,北京,162,万寿西宫,145,111,0,1.2,0,2,3,42,轻度污染,2015-09-16,2
1909,beijing,北京,162,东四,156,119,134,1.1,101,8,36,83,中度污染,2015-09-16,2
1910,beijing,北京,162,农展馆,155,118,120,1.6,131,3,10,70,中度污染,2015-09-16,2
1911,beijing,北京,162,古城,129,98,0,0.8,27,2,64,47,轻度污染,2015-09-16,2
1912,beijing,北京,162,天坛,143,109,110,1.4,83,7,2,41,轻度污染,2015-09-16,2
1913,beijing,北京,162,奥体中心,232,182,245,2.2,180,6,2,64,重度污染,2015-09-16,2
1914,beijing,北京,162,官园,155,118,146,1.5,116,5,2,82,中度污染,2015-09-16,2
1915,beijing,北京,162,定陵,132,100,0,0.9,18,2,87,113,轻度污染,2015-09-16,2
1916,beijing,北京,162,怀柔镇,147,112,0,1.1,12,2,96,145,轻度污染,2015-09-16,2
1917,beijing,北京,162,昌平镇,140,107,0,0.9,29,4,89,130,轻度污染,2015-09-16,2
1918,beijing,北京,162,海淀区万柳,202,152,0,1.2,92,3,23,34,重度污染,2015-09-16,2
1919,beijing,北京,162,顺义新城,204,154,0,0.9,30,9,15,57,重度污染,2015-09-16,2
2853,beijing,北京,172,万寿西宫,156,119,121,1.5,0,2,2,24,中度污染,2015-09-16,3
2854,beijing,北京,172,东四,199,149,196,1.7,152,5,2,60,中度污染,2015-09-16,3
2855,beijing,北京,172,农展馆,211,161,197,2.3,163,5,4,46,重度污染,2015-09-16,3
2856,beijing,北京,172,古城,114,86,0,0.9,19,2,93,43,轻度污染,2015-09-16,3
2857,beijing,北京,172,天坛,150,115,0,1.4,83,6,2,22,轻度污染,2015-09-16,3
2858,beijing,北京,172,奥体中心,215,165,174,1.7,159,4,2,39,重度污染,2015-09-16,3
2859,beijing,北京,172,官园,203,153,187,1.6,127,4,2,59,重度污染,2015-09-16,3
2860,beijing,北京,172,定陵,129,98,0,0.8,16,2,83,109,轻度污染,2015-09-16,3
